30h	36h	48h	54h	60h	72h
ENSG00000001629	-0.161933909249096	0.367562166028341	-0.0117138056795965	-0.019381180141273	0.0490108914290529	0.156900135232232
ENSG00000003393	0.130944937086216	-0.00688625388809043	-0.0814015701152731	-0.32297663491752	-0.366425058437919	-0.156779169471786
ENSG00000004139	-0.175772718892851	-0.207465746571617	-0.099361029335683	-0.174407511904001	-0.102739884615514	-0.0857804449077092
ENSG00000004777	-0.0565312145615214	-0.0278834931305709	-0.0336434354823846	0.111027092801586	0.0414443021193716	0.041518555928592
ENSG00000006007	-0.0745604490765454	0.188205370304517	0.0935148027634281	0.0521819237803299	0.0284427966860354	-0.0276304625107834
ENSG00000006042	0.0667348412292448	-0.134268404343486	-0.000650450196978625	0.00885904144321792	-0.0758387099958912	-0.0173531972576031
ENSG00000007314	-0.0590804310579163	0.283802409435237	-0.020479465164376	-0.00831000215467744	-0.136600875711464	0.079256912551591
ENSG00000007944	-0.0395263902824829	-0.136740771517613	-0.0233967783916119	0.0517271251543111	-0.0587181607189221	-0.00687175823613847
ENSG00000008988	-0.0734195714241211	0.0832046555004349	-0.0376877800934379	-0.0487088377322594	0.167276695859062	0.105759031140153
ENSG00000009694	0.0837313186697018	0.123981067982505	-0.0103118592610212	0.0186440912884442	-0.0376203068573873	-0.0575474394375478
ENSG00000010319	-0.09820630687625	-0.0805347125674422	0.169027939186105	-0.126739576343512	-0.0306592358831089	0.327966428214379
ENSG00000010539	-0.610627135619001	-0.24754068949238	0.157133973544352	0.202265784557588	-0.0246420926828253	0.171255779500431
ENSG00000011485	0.0922162637272936	0.0114006706415394	-0.123580120772515	0.101100699152956	-0.115451727609206	0.249190541723025
ENSG00000014164	0.577038667167589	0.0957353928612494	0.06405000615137	-0.307953665370263	-0.124730789994179	-0.0817670169737227
ENSG00000014824	0.197966338276557	-0.0774753652092546	0.265152378265074	0.133602693179039	0.0574706251879136	-0.0849128394967007
ENSG00000018189	-0.278058435876193	0.209792066343165	0.0618266510114225	0.0337594140090337	0.174438205117294	0.0789765276505866
ENSG00000018869	0.0187962785995056	-0.0643862521002632	-0.0842059269610071	-0.0580753011571344	-0.0283379160678076	0.0681360988178967
ENSG00000019582	-0.109219106180159	-0.0852374786031185	-0.0456484513300115	0.0258069737741596	0.0426709730120448	-0.124221649144157
ENSG00000023171	-0.075666233219855	-0.0361940130776732	-0.225179312740736	-0.070850155367757	-0.245095720065097	0.584778959961465
ENSG00000024048	0.0617326267328249	0.0649753260892926	-0.016748223148278	-0.0107563179535986	-0.478333358361162	0.0135372201746596
ENSG00000025796	0.0574854142094487	0.0867137198613485	-0.035455102746728	0.156104869469553	-0.148761102102864	-0.0364461276398801
ENSG00000028310	-0.013578653869347	-0.0382441121586001	0.0179789294467518	0.0175573843803871	0.139158488210077	0.0761650675012347
ENSG00000033100	-0.164419331920196	0.024945762712643	-0.188263998306782	-0.156279848627626	0.241778077603392	0.18586085390301
ENSG00000034510	-0.0288186172600762	0.0137468088916982	0.107380178491368	0.029088189112455	0.0735825212485439	0.059573765143725
