7h	12h	24h
ENSG00000001626	0.121388095782547	0.0539320588185109	-0.538304989848946
ENSG00000001629	-0.0275176082515699	0.0991238287108003	0.526459197001821
ENSG00000002549	-0.139331577081173	0.106502700876988	-0.0743297975918657
ENSG00000002587	-0.0506709592995357	0.301190536000087	-0.0581532147706258
ENSG00000002726	-0.181482090180086	-0.201120466444946	-0.0232514157484959
ENSG00000003056	-0.0924836696822868	0.105085888370885	0.0487161884808384
ENSG00000003402	-0.0132947030066622	-0.452138428094104	0.957026685801437
ENSG00000003436	0.050175203531864	0.277098296247896	-1.05052370108361
ENSG00000003509	-0.105970966365498	0.150221715889196	1.09405816012067
ENSG00000004139	1.10217935089036	-0.590902548007654	0.00222728021108054
ENSG00000004766	-0.0895568770568553	0.588517907882144	0.170054846720921
ENSG00000004961	-0.231277830138342	0.00576608367761929	0.00120444745537984
ENSG00000005001	0.391190039761489	0.0450211010696527	-0.0769730762835203
ENSG00000005100	-0.226296108725187	-0.231230493081422	0.169550688469134
ENSG00000005102	-0.315065685183234	-0.0820082055467578	-0.0468846962923012
ENSG00000005421	-0.0375571032970778	-0.0742447496401549	0.0156207756186075
ENSG00000005448	-0.0105210935275739	-0.045829256639804	-0.0755293157449624
ENSG00000005513	-0.334253905241917	0.0315329148584998	0.298890486353812
ENSG00000005700	0.303745094853217	-0.0129754285067269	0.241040927684178
ENSG00000005801	0.280937769021584	-0.017550624963157	-0.383483153871256
ENSG00000006059	0.222785561474084	-0.0815844642207937	-0.147290722075377
ENSG00000006128	0.0551787223505672	-0.051747796217129	0.245752625076673
ENSG00000006194	0.0342683300797872	0.0199610568121808	0.345059009695006
ENSG00000006282	-0.0749363967940632	-0.0385709665632386	0.129487400082207
ENSG00000006459	0.420173368393211	-0.36292511881147	0.0746451756551973
ENSG00000006606	0.107817669960158	-0.241111834750501	0.0106656964898454
ENSG00000006625	-0.209519855223263	-0.075542904385878	0.240903386982544
ENSG00000006715	0.0393219683778746	-0.00569732081217496	-1.05068812003748
ENSG00000006831	-0.146330837468526	0.00449702308499263	-0.159311022100933
ENSG00000007129	0.0777590678981793	-0.0485965475384553	-0.300009248766579
ENSG00000007171	-0.059681156286081	0.00121821426611775	-0.2488595748434
ENSG00000007312	0.168567253855862	-0.0141342761214374	-0.107836129185372
ENSG00000007384	0.237494051539069	0.308395338889085	0.336669549804474
ENSG00000007392	-0.130769123470085	0.30300671389875	0.297846335547461
ENSG00000007402	0.235697002373525	0.300441944746584	-0.226903145458986
ENSG00000007908	-0.167203709427319	0.259043564427497	0.395633928993221
ENSG00000007923	0.148202481705009	-0.291771852441965	-0.548574073968051
ENSG00000008056	0.0380660481769652	0.17346540930245	0.102394564696153
ENSG00000008226	-0.330371371037143	0.192875551352794	-0.103526325759805
ENSG00000008256	0.222706440081689	-0.357502237428672	0.0821463439825264
ENSG00000008382	0.137835930361903	0.289334051635178	-0.0631688521136784
ENSG00000008710	0.113390638540007	0.385351129489335	0.210108732141083
ENSG00000009335	-0.055212806987606	0.614767490102182	0.170432922957094
ENSG00000009790	0.113169086834874	-0.0189417474501168	-0.0892324231028674
ENSG00000010072	0.0560287575714504	-0.0726142148498899	-0.00546538875195927
ENSG00000010244	-0.0718056174736195	0.0696700191482128	0.16242679523045
ENSG00000010318	0.0326360136015182	0.240276200207708	-0.0859514886368797
ENSG00000010379	0.568047006244663	-0.0684358355389643	-0.00528229763870236
ENSG00000010438	0.210918327633996	0.0353718614316859	0.212120499560955
ENSG00000010803	0.216437274136734	-0.0614539221084727	-0.122271859466658
ENSG00000011132	0.0291359014551945	-0.165519300477837	-0.222273950168263
ENSG00000011275	0.0443134439827055	-0.0928738497730747	-0.0695058119339699
ENSG00000011405	0.00939776273009615	-0.305876690166044	-0.309183522338101
ENSG00000011566	-0.0579270702965777	0.0817330098450106	-0.0366986791957358
ENSG00000012171	-0.0149548534284616	-0.162332417189053	-0.161358655687748
ENSG00000012211	-0.0472606715811118	-0.0333923598448225	-0.150470266664608
ENSG00000012822	-0.144335452037699	-0.106592056057908	0.326858247857337
ENSG00000013293	0.52951898116515	0.0856168728177842	0.0329250955634546
ENSG00000013503	-0.0688117274481076	-0.0893518673658598	-0.00725324143731617
ENSG00000013523	-0.242297599691401	0.116524700853673	0.131431083426683
ENSG00000013561	0.10265662332374	-0.407042800551947	0.012111248344248
ENSG00000013725	-0.252920153393505	0.0183732545448626	-0.0973745649175006
ENSG00000014824	-0.0610308507737347	-0.310550673995563	-0.187803913702212
ENSG00000014919	0.141760243138066	-0.486230735949179	0.231355903074649
ENSG00000015479	-0.0690349219912996	-0.0780738330430359	0.521104493695813
ENSG00000016490	-0.0953111658477219	-0.0435015763517335	0.0343153871883827
ENSG00000018236	-0.00604185045685105	0.000645607479915119	-0.0670470615521278
ENSG00000019991	0.0166825083351014	0.212391175077936	-0.0357671271348033
ENSG00000019995	0.0380864810578417	-0.223626536905921	0.00659868940156313
ENSG00000021300	-0.191387068569736	0.104020799747471	-0.101741651903376
ENSG00000021355	-0.194122414567437	0.109560953296656	-0.0904108950037118
ENSG00000021852	0.0239933249407276	-0.00922782575935669	0.556195275210663
ENSG00000022567	0.0332712414622106	0.0252542824490118	-0.0158837147081504
ENSG00000023445	0.601195070773245	0.038079481657272	0.0314753684333923
ENSG00000023839	0.155010754755546	-0.272188973265801	0.151420436477339
ENSG00000025039	0.0231265714517897	0.232171857858854	-0.10429682068892
ENSG00000025156	0.0491558999743832	-0.205607106222076	-0.0196019760879696
ENSG00000025293	-0.0127074811633134	0.0495908705522231	-0.12213848553095
ENSG00000026950	-0.123580339491272	-0.530226462164233	-0.0136207144795891
ENSG00000028116	-0.1305183317847	0.0876058930185941	0.103925630407623
ENSG00000029559	0.0706426059090051	0.200893326141353	0.0942766689058419
ENSG00000030110	-0.696375995140752	0.0819622505164368	0.350111671924304
ENSG00000033122	-0.0343501815253608	0.00369521631341681	0.693959825516875
ENSG00000033170	0.00563640002848587	0.24511928822463	-0.167909145205157
ENSG00000034239	0.0264955065134664	-0.246279371826521	-0.0266257896345152
ENSG00000034510	-0.0449064550665434	0.0336465914346323	-0.0228648682839516
ENSG00000034971	0.0174299758868897	-0.361606306994142	0.213754955156984
ENSG00000035720	0.00299324481755588	-0.0340342092465337	0.485879224865006
ENSG00000036828	-0.142780063439334	-0.270655185591994	-0.0542689481498799
ENSG00000037749	-0.0509241451470643	-0.153080133435677	-0.00988427801526489
