X96.logFC	X96.P.Value
ENSG00000000005	-0.722045268972223	0.0932684154222036
ENSG00000001561	0.654598331388888	0.0412364821484793
ENSG00000001630	-0.565354644842045	0.0204065239703546
ENSG00000002549	-1.11541970694445	0.00082851028004722
ENSG00000002587	-0.653953065000001	0.00158649886710309
ENSG00000004809	1.31123399422222	0.0235622812073462
ENSG00000004838	0.991104285833333	0.0117175868607016
ENSG00000005448	0.891125408611109	0.0134636334307412
ENSG00000006062	-0.518738690861112	0.0173826936925959
ENSG00000006210	-0.564716651221502	0.00243318570423931
ENSG00000006534	0.706297926388888	0.040393848595093
ENSG00000007952	-0.641281909026403	0.0148136970090861
ENSG00000009765	0.915738069555556	0.00568200490995776
ENSG00000010030	-1.76353435383333	3.49892041865923e-05
ENSG00000010626	1.07060673472222	0.00782646487080443
ENSG00000012171	-0.791536920366393	0.0950916678941373
ENSG00000020633	-0.863853120861112	0.0190150528055729
ENSG00000021300	0.844112444324131	0.01087118967512
ENSG00000023445	-0.734607612777779	0.0302182774518618
ENSG00000023839	0.779058103445646	0.00171680386829437
ENSG00000024862	0.560160990833332	0.00396892413762762
ENSG00000025708	-0.887870427021768	0.00931594252944831
ENSG00000026950	-0.745453532528069	0.0101992283304183
ENSG00000027001	0.616110670083333	0.012660503725945
ENSG00000032742	0.952360155888888	0.000770849535224668
ENSG00000034239	1.29277810609789	0.00268094564434638
ENSG00000039139	1.28811887744493	0.000522439269981089
ENSG00000039537	1.52394353547222	0.00234534731090186
ENSG00000040199	-0.737043516250001	0.000242402743886316
ENSG00000042317	0.645307569388889	0.00285472123225078
ENSG00000042980	-0.663745581014501	0.0336375647521466
ENSG00000046653	0.565949638861111	0.0183278016424259
ENSG00000047597	0.89280348575	0.0445077531246906
ENSG00000048342	1.21846556766999	0.00144906633013166
ENSG00000050438	0.973452219802328	0.0252354614779286
ENSG00000050730	-0.933648931694445	0.00377377288407939
ENSG00000052802	-0.724007662583334	0.0455188360087788
ENSG00000055332	-1.41747761982433	1.78176662662466e-05
ENSG00000055955	-0.693459734555555	0.0124104915872254
ENSG00000057149	-0.755775967777777	0.0114831225907264
ENSG00000057657	-0.508098137916667	0.00651100702183398
ENSG00000059378	-1.26858313777778	0.000106221378585096
ENSG00000064199	1.10249465055555	0.00215345385833663
ENSG00000064932	-0.556137131583335	0.0124277081073466
ENSG00000065371	0.728918641694443	0.00345583715477163
ENSG00000065989	-0.577253133233793	0.00838928037902851
ENSG00000066185	1.04871582883333	0.00748376811058836
ENSG00000067066	-0.601981003815376	0.0774366486922997
ENSG00000067191	-0.633441762991744	0.00238398261996462
ENSG00000068079	-2.14552122566667	1.33844670963837e-05
ENSG00000068137	-0.507958237500002	0.0971661079901474
ENSG00000068615	1.03513295897222	0.00483898438542513
