X24.logFC	X24.P.Value
ENSG00000000457	-0.6051916526	0.00966608441211778
ENSG00000000938	-0.9371596351	0.0383050915963321
ENSG00000000971	1.0736322366183	0.00550709732226847
ENSG00000001617	-0.644792273099999	0.0257183305707378
ENSG00000002586	1.3988786698	0.00338546212375096
ENSG00000002587	0.847835294199999	9.13305137666429e-05
ENSG00000002834	0.7357891	0.0183430499466233
ENSG00000003436	1.1003751218898	0.00333619359613258
ENSG00000004059	0.614615339999999	0.00958587125537223
ENSG00000004399	-0.540905160600001	0.00694185689607205
ENSG00000004478	-1.23911414629011	0.00177059816831357
ENSG00000004487	0.920017573000001	0.000988951611232845
ENSG00000004534	0.620857506100001	0.0123036598029796
ENSG00000004776	-0.647554069	0.00765953240028961
ENSG00000005020	0.8202467562	0.00105416586652946
ENSG00000005108	0.6845650983	0.00142236795302264
ENSG00000005189	0.6767882442	0.000942896036011834
ENSG00000005302	0.569320243039669	0.00944364018134436
ENSG00000005339	-1.130648162	0.000988951611232845
ENSG00000005436	-0.885919449299999	0.0467561675834597
ENSG00000005486	-0.635122642899999	0.0949609481263612
ENSG00000005812	0.519459952800001	0.0426928944256526
ENSG00000006007	0.7095546272	0.00338921848979848
ENSG00000006125	0.863229463700001	0.0524516113436691
ENSG00000006194	0.670281131699998	0.00312995685758973
ENSG00000006327	-2.4645394521	0.000572429685563808
ENSG00000006530	0.5510371394	0.0014332624805643
ENSG00000006712	0.929790587000001	0.00473921218454311
ENSG00000006715	0.538951636499999	0.000717444042834646
ENSG00000006744	0.687164534385867	0.00126451619882581
ENSG00000006837	-0.9753392452	0.016181700037695
ENSG00000007062	0.733640358	0.00103521214264482
ENSG00000007944	-1.304296632	0.000326547568904977
ENSG00000008083	-0.9657488857	0.00584651483717908
ENSG00000008256	-1.19911738	0.0201499979927912
ENSG00000008311	0.850583345500001	0.0281056081956615
ENSG00000008382	0.9528050663	0.0316614464637027
ENSG00000008394	0.948136266900002	0.0303684387303522
ENSG00000008516	-1.34176847287585	0.00716864771955868
ENSG00000008517	-1.3718188810296	0.00357072764892908
ENSG00000010278	0.724414494	0.042277953931109
ENSG00000010610	-0.833672453000002	0.0489653266412483
ENSG00000011132	-0.736978509799999	0.0526951274118537
ENSG00000011275	-0.525180589778718	0.0157188505825626
ENSG00000011426	1.4092795204	0.0168037182001727
ENSG00000012171	-1.4324318934	0.0403163338044403
ENSG00000012822	0.893036207499999	0.00159200950517998
ENSG00000013016	1.0430360847	0.0210170642617392
ENSG00000013288	1.5344028297	0.0041634333447917
ENSG00000013306	0.613289331199999	0.0058342014549729
ENSG00000013374	0.5052322764	0.00240323607114843
ENSG00000013441	-0.765989610024129	0.000875298191577471
ENSG00000013563	0.663032369100001	0.0458847753865534
ENSG00000013583	0.548687526	0.0245746525293168
ENSG00000014138	1.1801889798	0.000536594384467165
ENSG00000014164	-0.873964224300001	0.00195311084989868
ENSG00000014216	1.0334731198	0.00284057537600838
ENSG00000014824	0.527832448399999	0.00787178451745372
ENSG00000015153	-0.655646240042545	0.00709603061824741
ENSG00000015568	-0.833245447895882	0.0278373389402375
ENSG00000016864	0.7775299589148	0.00632438199411343
ENSG00000020922	1.2428989962	0.00500632650066219
ENSG00000022567	0.7705125366	0.0200731182038757
ENSG00000023191	0.508266162000001	0.0060607864107673
ENSG00000023445	-2.4789867641	0.00198611911197652
ENSG00000023902	-1.02006552253838	0.00960811677186191
ENSG00000025772	-0.706155831399112	0.00212366622906727
ENSG00000026559	-0.669041963555622	0.0335420344263009
ENSG00000026751	-0.765589482	0.00114819609054055
ENSG00000029993	1.14867424534196	0.0494652043722784
ENSG00000030582	0.543850187999997	0.0623148825255107
ENSG00000031691	0.5482195415	0.0279849570113001
ENSG00000032444	0.706974835	0.0368794514725657
ENSG00000033030	-0.955263212	0.00119496391318242
ENSG00000034677	0.7137485491	0.0484919892677899
ENSG00000035403	0.6575978703	0.0091033238510335
ENSG00000035687	1.047697512	0.00138683426663162
ENSG00000037042	0.631666478100001	0.00161102185612841
ENSG00000037637	-0.879718841	0.0838405990641603
ENSG00000037757	1.3893009555	0.00380837963947683
ENSG00000038274	1.51448978599245	0.000887901848445682
ENSG00000038295	1.0641992031	0.0197998331326337
ENSG00000038382	-0.87630807867808	0.0201528490761416
ENSG00000042286	-0.54766151481509	0.0749743498135455
ENSG00000042445	0.991152763620409	0.00066032551895675
ENSG00000042832	-1.8079221955	0.00610149847263663
ENSG00000044115	0.737609148116222	0.00486967074911213
ENSG00000046604	0.5339958315	0.00119496391318242
ENSG00000046647	0.6687775106	0.0779549348831203
ENSG00000047188	-0.722072087999999	0.00661678324133623
ENSG00000047315	0.597802283999999	0.00128143654239186
ENSG00000048162	-0.552752624999999	0.0102549667666583
ENSG00000048392	0.863810231765327	0.00227880757648623
ENSG00000048740	-0.866592920042616	0.0930528296058481
ENSG00000049239	1.3193219449	0.00290003083324627
ENSG00000049249	-1.0285364131	0.000611655579357479
ENSG00000049541	0.634666963999999	0.0200629536362931
ENSG00000049769	-0.9267779256	0.0598572314204268
ENSG00000049860	0.902833291999999	0.000888260834917348
ENSG00000050165	0.605090975500046	0.0222990845730852
ENSG00000051009	-0.654408654399999	0.0512083090709517
ENSG00000051108	-0.707177558	0.000236330971467897
ENSG00000051596	0.863910155161643	0.000867936541993431
ENSG00000053108	-0.5641742203	0.000839853619500237
ENSG00000053254	1.1370968892	0.000978551186370125
ENSG00000053501	-0.875026396400873	0.0730892981199081
ENSG00000054654	0.85282681006928	0.00944364018134436
ENSG00000054967	-0.534163336399999	0.00342198580569749
ENSG00000055147	0.692362156800001	0.00847192701891256
ENSG00000055483	-1.4727498612	0.00854326880610036
ENSG00000056558	-2.5363626618	0.000973552666057697
ENSG00000056678	1.192267833	0.0982343860283315
ENSG00000057019	-1.05305203453626	0.0124591163172049
ENSG00000057593	0.5466195676	0.000352537950962471
ENSG00000057608	0.634601220078036	0.0215384988051712
ENSG00000057757	1.0131334888	0.000715540544254957
ENSG00000059588	0.580112489399999	0.0186881158448801
ENSG00000059728	-2.04108225158571	0.000315977133341563
ENSG00000059769	-1.2850718174	0.000972400049777208
ENSG00000060138	0.837640333447654	0.0300276995737578
ENSG00000060339	-0.631633744999999	0.00598901512180477
ENSG00000060566	0.5159443905	0.0222655858549921
ENSG00000061918	0.609021230753972	0.0945039974952347
ENSG00000062725	-0.622185290999998	0.000888260834917348
ENSG00000063046	0.687126950881081	0.000517850101292162
ENSG00000063978	-0.824868509999999	0.0295383061598766
ENSG00000064042	0.612668912966959	0.00522526270634507
ENSG00000064199	0.602981798799999	0.0154993503994965
ENSG00000064655	0.63709061	0.00290721131556683
ENSG00000064961	0.530719719077535	0.00390648688963041
ENSG00000064999	-0.758549094209182	0.0134650927079978
ENSG00000065060	-0.554192064999999	0.0333020858053161
ENSG00000065150	0.535901493843022	0.00307189224855539
