48	36	54	60	72
ENSG00000001461	-0.867260139822996	-0.923725141815937	-1.22208825212779	-1.03308896117461	-0.50959465478233
ENSG00000005893	-1.1077508564827	-0.991069834260543	-1.37389863583926	-1.3556719896042	-1.23319595348402
ENSG00000006062	1.44662144165696	1.28697488967096	1.4725400689298	1.44972180766445	1.04597545829968
ENSG00000006210	0.713255666520523	0.518493989374784	0.804151521499038	0.707181113881698	0.976249144208439
ENSG00000006468	-0.907981347771506	-0.891335489564969	-1.31837754105513	-1.24476955096498	-1.01445667645947
ENSG00000006757	-1.1864985867856	-1.23390704734164	-1.74168432363844	-1.5788882562852	-1.18124484743056
ENSG00000007255	-1.74619484795825	-1.90104849077947	-2.5937771215856	-2.48419734833297	-2.34839540263161
ENSG00000008128	-1.72687038590428	-1.23365437248221	-2.30910944457434	-1.74128135639635	-1.36876662545561
ENSG00000008988	-1.01066417863896	-1.06901576445312	-1.40883418172613	-1.17252889328678	-0.90053379270017
ENSG00000010438	-1.17947258665964	-1.12848292399753	-1.6140300128431	-1.55345125626592	-1.32177548353171
ENSG00000013375	-0.570361156250233	-0.826436450127509	-0.643932554972252	-0.570060428671721	-0.571717751305385
ENSG00000018510	-1.07829488363955	-1.09224111498178	-1.49553921943492	-1.32258789388908	-1.06402605780316
ENSG00000024862	-1.16785429483613	-1.28049109263694	-1.54260859253279	-1.49642475709452	-0.940973006544668
ENSG00000026025	-0.880670591169997	-1.1336612936452	-1.27627129038511	-1.23266957378848	-1.4032403540911
ENSG00000038002	-0.904513517100113	-0.948646453517389	-1.19756452410723	-1.06197643533347	-0.715358415629276
ENSG00000048052	1.45594691511923	1.039186897365	1.892772165862	2.06434345803693	1.80753123500601
ENSG00000048392	-0.996827551298925	-0.923019834544577	-1.28659218656396	-1.21597400519597	-0.918227606661124
ENSG00000049249	2.20612379152938	2.34668929855906	3.12881047714671	2.7451233006436	2.57428955390966
ENSG00000049323	-0.696175915311154	-0.696040906159066	-0.781802184700021	-0.956544692664126	-0.783800309295485
ENSG00000050130	-0.883060733941686	-1.15842794669978	-1.11104474792538	-0.928029693809138	-0.521343553232165
ENSG00000051128	-1.00056087498534	-1.18638764819757	-1.37326803451378	-1.14419600183906	-0.861506287757661
ENSG00000054392	-1.19505152325414	-1.2353582823949	-1.73685863165938	-1.77158903307954	-1.45108767635978
ENSG00000056291	2.7105770429195	2.46267339293967	3.39584557617698	3.20606157400027	2.55101404459678
ENSG00000056558	1.23838665592903	1.20318103193787	1.74163540042077	1.76452436013705	1.23322263785272
ENSG00000060642	-1.12895503611088	-1.00731927976071	-1.3941583594368	-1.26275546328723	-0.964694070437428
ENSG00000061936	0.748597651488973	0.534832841129989	0.822822757966095	0.92691230309941	0.793890124080378
ENSG00000064651	-1.23876138992209	-1.18516123656302	-1.85852698145491	-1.88535624574055	-2.05642826022569
ENSG00000064726	-0.895490207067597	-0.867010119241817	-1.06234174026421	-1.07268667659921	-0.894122171579068
ENSG00000067082	1.05463769110344	0.783649033754733	1.26383155077602	1.30862501492748	0.973550966089234
ENSG00000067992	-1.02512999564596	-1.00969488929489	-1.27754772857049	-1.03079049899896	-0.721081192669086
ENSG00000069275	-0.928085753849026	-0.843226635577041	-1.15397908541965	-0.982828054065487	-0.572404601582437
