X3.logFC	X3.P.Value
ENSG00000106341	1.60072886885489	0.054825913012871
ENSG00000130988	1.35748812942258	0.054825913012871
ENSG00000150681	1.69797605247123	0.041286968499556
ENSG00000155659	1.80669099109198	0.054825913012871
ENSG00000156097	1.09235646190793	0.0865135633901479
ENSG00000171049	2.24725664876722	0.0865135633901479
ENSG00000179455	1.76999633931482	0.0485389820586408
ENSG00000186306	1.39666999053558	0.0305704332768268
ENSG00000214357	0.878000116688223	0.0865135633901479
ENSG00000277481	1.32323320527302	0.0485389820586408
