X0.logFC	X0.P.Value
ENSG00000039987	0.556379829333333	0.0581946529768371
ENSG00000112530	0.910687197	0.0482012456145092
ENSG00000128011	-0.580630213666667	0.0587439528031549
ENSG00000128513	0.831864871000001	0.0482012456145092
ENSG00000144792	-0.975956600666666	0.0890789878911804
ENSG00000168300	-1.542198412	0.0482012456145092
ENSG00000175189	0.6493063675	0.0561433076186716
ENSG00000180872	-1.07300200333333	0.0561433076186716
ENSG00000241476	-1.17223139733906	0.0328508412687312
ENSG00000280661	-0.975956600666666	0.0890789878911804
